Name,Country,Release_date,OTT_name,Genre,Genre2,Link
The Silence of the Lambs,United States,02/01/1991,None,Horror,Serial killer,https://flixpatrol.com/title/the-silence-of-the-lambs/
Moana,United States,11/23/2016,None,Animated,Princesses,https://flixpatrol.com/title/moana/
Palm Springs,United States,07/10/2020,Hulu,Comedy,Time Loop,https://flixpatrol.com/title/palm-springs/
Back to the Future,United States,07/03/1985,None,Science Fiction,Time travel,https://flixpatrol.com/title/back-to-the-future/
Get Out,United States,02/24/2017,None,Horror,Psychological horror,https://flixpatrol.com/title/get-out/
Star Wars: Episode IV - A New Hope,United States,05/25/1977,None,Science Fiction,Space opera,https://flixpatrol.com/title/star-wars-episode-iv-a-new-hope/
Se7en,United States,09/22/1995,None,Crime,Serial killer,https://flixpatrol.com/title/se7en/
Gone Girl,United States,10/01/2014,None,Thriller,Disapperance,https://flixpatrol.com/title/gone-girl/
The Outpost,United States,11/02/2019,None,War,Afghan War,https://flixpatrol.com/title/the-outpost-2019/
La La Land,United States,12/09/2016,None,Music,Cry movie,https://flixpatrol.com/title/la-la-land/
Spirited Away,Japan,07/20/2001,None,Animated,Anime,https://flixpatrol.com/title/spirited-away/
Hamilton,United States,07/03/2020,Disney+,Music,Musical,https://flixpatrol.com/title/hamilton-2020/
Wonder Woman,United States,05/30/2017,None,Superhero,DC,https://flixpatrol.com/title/wonder-woman/
Hubie Halloween,United States,10/07/2020,Netflix,Comedy,Family,https://flixpatrol.com/title/hubie-halloween/
Greenland,United States,07/29/2020,None,Science Fiction,Disaster,https://flixpatrol.com/title/greenland/
The Avengers,United States,04/25/2012,None,Superhero,Marvel,https://flixpatrol.com/title/the-avengers-2012/
Hereditary,United States,06/04/2018,None,Horror,Demons,https://flixpatrol.com/title/hereditary/
Captain America: Civil War,United States,04/27/2016,None,Superhero,Marvel,https://flixpatrol.com/title/captain-america-civil-war/
Inglourious Basterds,United States,08/21/2009,None,War,World War II,https://flixpatrol.com/title/inglourious-basterds/
Guardians of the Galaxy,United States,08/01/2014,None,Superhero,Marvel,https://flixpatrol.com/title/guardians-of-the-galaxy/
Dune,United States,09/15/2021,None,Science Fiction,Space opera,https://flixpatrol.com/title/dune-2021/
Harry Potter and the Chamber of Secrets,United Kingdom,11/03/2002,None,Fantasy,Wizards,https://flixpatrol.com/title/harry-potter-and-the-chamber-of-secrets/
The Grand Budapest Hotel,United Kingdom,03/07/2014,None,Drama,Dramedy,https://flixpatrol.com/title/the-grand-budapest-hotel/
Portrait of a Lady on Fire,France,09/18/2019,None,Drama,LGBT,https://flixpatrol.com/title/portrait-of-a-lady-on-fire/
Eternal Sunshine of the Spotless Mind,United States,03/19/2004,None,Drama,Break-up,https://flixpatrol.com/title/eternal-sunshine-of-the-spotless-mind/
Star Wars: The Rise of Skywalker,United States,12/18/2019,None,Science Fiction,Space opera,https://flixpatrol.com/title/star-wars-the-rise-of-skywalker/
Spider-Man: Homecoming,United States,07/05/2017,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-homecoming/
Zootopia,United States,02/11/2016,None,Animated,Animals,https://flixpatrol.com/title/zootopia/
Trolls World Tour,United States,03/19/2020,None,Animated,Music,https://flixpatrol.com/title/trolls-world-tour/
Thor: Ragnarok,United States,10/25/2017,None,Superhero,Marvel,https://flixpatrol.com/title/thor-ragnarok/
The Social Network,United States,09/30/2010,None,Drama,Business,https://flixpatrol.com/title/the-social-network/
Hard Kill,United States,10/23/2020,None,Action,Terorrism,https://flixpatrol.com/title/hard-kill/
Whiplash,United States,10/10/2014,None,Drama,Music,https://flixpatrol.com/title/whiplash/
Ratatouille,United States,06/28/2007,None,Animated,Animals,https://flixpatrol.com/title/ratatouille/
Doctor Strange,United States,10/25/2016,None,Superhero,Marvel,https://flixpatrol.com/title/doctor-strange-2016/
The Tax Collector,United States,08/07/2020,None,Crime,Drugs,https://flixpatrol.com/title/the-tax-collector/
Jurassic World,United States,06/12/2015,None,Science Fiction,Dinosaurs,https://flixpatrol.com/title/jurassic-world/
Guardians of the Galaxy Vol. 2,United States,04/24/2017,None,Superhero,Marvel,https://flixpatrol.com/title/guardians-of-the-galaxy-vol-2/
Kingsman: The Secret Service,United Kingdom,01/24/2015,None,Action,Spies,https://flixpatrol.com/title/kingsman-the-secret-service/
Onward,United States,03/04/2020,None,Animated,For Boys,https://flixpatrol.com/title/onward/
On the Rocks,United States,10/23/2020,Apple,Comedy,Dramedy,https://flixpatrol.com/title/on-the-rocks/
Her,United States,12/18/2013,None,Romance,Fantasy Romance,https://flixpatrol.com/title/her/
Black Widow,United States,07/07/2021,None,Superhero,Marvel,https://flixpatrol.com/title/black-widow-2021/
Avengers: Endgame,United States,04/24/2019,None,Superhero,Marvel,https://flixpatrol.com/title/avengers-endgame/
Soul,United States,12/25/2020,None,Animated,For Older Kids,https://flixpatrol.com/title/soul/
Dune,United States,09/15/2021,None,Science Fiction,Space opera,https://flixpatrol.com/title/dune-2021/
Tenet,United States,08/22/2020,None,Action,Spies,https://flixpatrol.com/title/tenet/
Cruella,United States,05/26/2021,None,Comedy,Dogs,https://flixpatrol.com/title/cruella/
Zack Snyder's Justice League,United States,03/18/2021,HBO Max,Superhero,DC,https://flixpatrol.com/title/zack-snyders-justice-league/
Free Guy,United States,08/11/2021,None,Science Fiction,Sci-fi comedy,https://flixpatrol.com/title/free-guy/
Shang-Chi and the Legend of the Ten Rings,United States,09/01/2021,None,Superhero,Marvel,https://flixpatrol.com/title/shang-chi-and-the-legend-of-the-ten-rings/
Raya and the Last Dragon,United States,03/05/2021,None,Animated,Dragons,https://flixpatrol.com/title/raya-and-the-last-dragon/
Avengers: Infinity War,United States,04/25/2018,None,Superhero,Marvel,https://flixpatrol.com/title/avengers-infinity-war/
The Suicide Squad,United States,07/28/2021,None,Superhero,DC,https://flixpatrol.com/title/the-suicide-squad/
Promising Young Woman,United States,12/13/2020,None,Thriller,Mystery,https://flixpatrol.com/title/promising-young-woman/
Joker,United States,10/02/2019,None,Superhero,DC,https://flixpatrol.com/title/joker-2019/
Mortal Kombat,United States,04/07/2021,None,Action,Kung-fu,https://flixpatrol.com/title/mortal-kombat-2021/
Luca,United States,06/17/2021,None,Animated,For Older Kids,https://flixpatrol.com/title/luca/
Wrath of Man,United States,04/22/2021,None,Action,Gangsters,https://flixpatrol.com/title/wrath-of-man/
Godzilla vs. Kong,United States,03/31/2021,None,Science Fiction,monster,https://flixpatrol.com/title/godzilla-vs-kong/
Parasite,South Korea,05/30/2019,None,Drama,Social Issues,https://flixpatrol.com/title/parasite/
Nobody,United States,03/18/2021,None,Action,Revenge,https://flixpatrol.com/title/nobody/
Nomadland,United States,12/04/2020,None,Drama,Social Issues,https://flixpatrol.com/title/nomadland/
Knives Out,United States,11/27/2019,None,Crime,Murder,https://flixpatrol.com/title/knives-out/
A Quiet Place Part II,United States,04/22/2021,None,Horror,Alien Invasion,https://flixpatrol.com/title/a-quiet-place-part-ii/
Once Upon a Time… in Hollywood,United States,07/24/2019,None,Crime,Crime Comedy,https://flixpatrol.com/title/once-upon-a-time-in-hollywood/
Midsommar,United States,07/03/2019,None,Horror,Psychological horror,https://flixpatrol.com/title/midsommar/
Spider-Man: Into the Spider-Verse,United States,12/07/2018,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-into-the-spider-verse/
The Dark Knight,United States,07/16/2008,None,Superhero,DC,https://flixpatrol.com/title/the-dark-knight/
Pulp Fiction,United States,09/10/1994,None,Crime,Gangsters,https://flixpatrol.com/title/pulp-fiction/
F9,United States,05/28/2021,None,Action,Cars,https://flixpatrol.com/title/f9/
Venom: Let There Be Carnage,United States,09/30/2021,None,Superhero,Marvel,https://flixpatrol.com/title/venom-let-there-be-carnage/
Interstellar,United States,11/05/2014,None,Science Fiction,Space,https://flixpatrol.com/title/interstellar/
Wonder Woman 1984,United States,12/25/2020,HBO Max,Superhero,DC,https://flixpatrol.com/title/wonder-woman-1984/
Infinite,United States,06/10/2021,Amazon,Science Fiction,Psychological,https://flixpatrol.com/title/infinite/
Inception,United States,07/16/2010,None,Action,Heist,https://flixpatrol.com/title/inception/
Jungle Cruise,United States,07/30/2021,None,Adventure,Treasure hunt,https://flixpatrol.com/title/jungle-cruise/
Army of the Dead,United States,05/14/2021,Netflix,Action,Zombies,https://flixpatrol.com/title/army-of-the-dead/
The Croods: A New Age,United States,11/25/2020,None,Animated,For Older Kids,https://flixpatrol.com/title/the-croods-a-new-age/
Fight Club,United States,10/14/1999,None,Thriller,Psychological,https://flixpatrol.com/title/fight-club/
Demon Slayer: Kimetsu no Yaiba- The Movie: Mugen Train,Japan,10/16/2020,None,Animated,Anime,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train/
Eternals,United States,11/03/2021,None,Superhero,Marvel,https://flixpatrol.com/title/eternals/
The Wolf of Wall Street,United States,12/25/2013,None,Drama,Business,https://flixpatrol.com/title/the-wolf-of-wall-street/
The Tomorrow War,United States,07/01/2021,Amazon,Science Fiction,Time travel,https://flixpatrol.com/title/the-tomorrow-war/
Harry Potter and the Philosopher's Stone,United Kingdom,11/16/2001,None,Fantasy,Wizards,https://flixpatrol.com/title/harry-potter-and-the-philosophers-stone/
Sound of Metal,Belgium,12/04/2020,None,Drama,Music,https://flixpatrol.com/title/sound-of-metal/
No Time to Die,United Kingdom,09/29/2021,None,Action,Spies,https://flixpatrol.com/title/no-time-to-die/
Spider-Man: No Way Home,United States,12/15/2021,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-no-way-home/
The Grand Budapest Hotel,United Kingdom,03/07/2014,None,Drama,Dramedy,https://flixpatrol.com/title/the-grand-budapest-hotel/
Monster Hunter,Germany,12/03/2020,None,Science Fiction,monster,https://flixpatrol.com/title/monster-hunter/
Old,United States,07/21/2021,None,Thriller,Supernatural,https://flixpatrol.com/title/old/
Space Jam: A New Legacy,United States,07/14/2021,None,Comedy,Basketball,https://flixpatrol.com/title/space-jam-a-new-legacy/
Lady Bird,United States,09/08/2017,None,Drama,Coming of Age,https://flixpatrol.com/title/lady-bird/
Get Out,United States,02/24/2017,None,Horror,Psychological horror,https://flixpatrol.com/title/get-out/
Spirited Away,Japan,07/20/2001,None,Animated,Anime,https://flixpatrol.com/title/spirited-away/
Spider-Man: Far from Home,United States,06/28/2019,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-far-from-home/
Venom,United States,10/03/2018,None,Superhero,Marvel,https://flixpatrol.com/title/venom-2018/
The Boss Baby: Family Business,United States,07/01/2021,None,Animated,For Boys,https://flixpatrol.com/title/the-boss-baby-family-business/
The Conjuring: The Devil Made Me Do It,United States,06/03/2021,None,Horror,Demons,https://flixpatrol.com/title/the-conjuring-the-devil-made-me-do-it/
Gone Girl,United States,10/01/2014,None,Thriller,Disapperance,https://flixpatrol.com/title/gone-girl/
La La Land,United States,12/09/2016,None,Music,Cry movie,https://flixpatrol.com/title/la-la-land/
The Shining,United Kingdom,05/22/1980,None,Horror,Psychological horror,https://flixpatrol.com/title/the-shining/
Minari,United States,12/11/2020,None,Drama,Family Ties,https://flixpatrol.com/title/minari/
The Little Things,United States,01/29/2021,None,Crime,Serial killer,https://flixpatrol.com/title/the-little-things/
Vacations of Terror 2: Diabolical Birthday,United States,04/18/1991,Apple,Drama,Space,https://flixpatrol.com/title/vacations-of-terror-2-diabolical-birthday/
PAW Patrol: The Movie,United States,08/09/2021,None,Animated,Dogs,https://flixpatrol.com/title/paw-patrol-the-movie/
Red Notice,United States,11/12/2021,Netflix,Action,Treasure hunt,https://flixpatrol.com/title/red-notice/
Snake Eyes: G.I. Joe Origins,United States,07/23/2021,None,Action,Spies,https://flixpatrol.com/title/snake-eyes-gi-joe-origins/
Tom Clancy's Without Remorse,United States,04/30/2021,Amazon,Action,Spies,https://flixpatrol.com/title/tom-clancys-without-remorse/
Vampires: The Turning,United States,01/02/2005,None,Horror,,https://flixpatrol.com/title/vampires-the-turning/
Judas and the Black Messiah,United States,02/12/2021,None,Drama,Historical,https://flixpatrol.com/title/judas-and-the-black-messiah/
The Truman Show,United States,06/04/1998,None,Comedy,Satira,https://flixpatrol.com/title/the-truman-show/
Another Round,Denmark,10/08/2020,None,Drama,Alcohol,https://flixpatrol.com/title/another-round/
Greenland,United States,07/29/2020,None,Science Fiction,Disaster,https://flixpatrol.com/title/greenland/
NANA,Japan,09/03/2005,None,Romance,Music,https://flixpatrol.com/title/nana/
The Father,United Kingdom,12/18/2020,None,Drama,Family Ties,https://flixpatrol.com/title/the-father/
Suicide Squad,United States,08/02/2016,None,Superhero,DC,https://flixpatrol.com/title/suicide-squad/
Last Night in Soho,United Kingdom,04/23/2021,None,Thriller,Serial killer,https://flixpatrol.com/title/last-night-in-soho/
The Lord of the Rings: The Fellowship of the Ring,United States,12/19/2001,None,Fantasy,Wizards,https://flixpatrol.com/title/the-lord-of-the-rings-the-fellowship-of-the-ring/
Finch,United States,11/05/2021,Apple,Drama,Robots,https://flixpatrol.com/title/finch/
Those Who Wish Me Dead,United States,05/07/2021,None,Western,Murder,https://flixpatrol.com/title/those-who-wish-me-dead/
Coming 2 America,United States,03/05/2021,Amazon,Comedy,Road Trip,https://flixpatrol.com/title/coming-2-america/
Ashfall,South Korea,12/19/2019,None,Action,Disaster,https://flixpatrol.com/title/ashfall/
Harry Potter and the Chamber of Secrets,United Kingdom,11/03/2002,None,Fantasy,Wizards,https://flixpatrol.com/title/harry-potter-and-the-chamber-of-secrets/
Inglourious Basterds,United States,08/21/2009,None,War,World War II,https://flixpatrol.com/title/inglourious-basterds/
Honest Thief,United States,09/03/2020,None,Action,Action Heroes,https://flixpatrol.com/title/honest-thief/
The Trial of the Chicago 7,United States,10/16/2020,Netflix,Drama,Vietnam War,https://flixpatrol.com/title/the-trial-of-the-chicago-7/
The Last Duel,United States,10/13/2021,None,History,Knights,https://flixpatrol.com/title/the-last-duel/
The French Dispatch,United States,10/21/2021,None,Drama,Journalists,https://flixpatrol.com/title/the-french-dispatch/
Spiral: From the Book of Saw,Canada,05/13/2021,None,Horror,Splatter,https://flixpatrol.com/title/spiral-from-the-book-of-saw/
Reminiscence,United States,08/19/2021,None,Science Fiction,Time travel,https://flixpatrol.com/title/reminiscence/
Spider-Man: Homecoming,United States,07/05/2017,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-homecoming/
The SpongeBob Movie: Sponge on the Run,United States,11/05/2020,None,Animated,For Older Kids,https://flixpatrol.com/title/the-spongebob-movie-sponge-on-the-run/
Tom & Jerry,United States,02/11/2021,None,Comedy,Cats,https://flixpatrol.com/title/tom-jerry/
Frozen,United States,11/27/2013,None,Animated,Princesses,https://flixpatrol.com/title/frozen/
Skylines,France,12/18/2020,None,Science Fiction,Aliens,https://flixpatrol.com/title/skylines-2020/
Whiplash,United States,10/10/2014,None,Drama,Music,https://flixpatrol.com/title/whiplash/
Godzilla: King of the Monsters,United States,05/29/2019,None,Science Fiction,monster,https://flixpatrol.com/title/godzilla-king-of-the-monsters-2019/
Black Panther,United States,02/12/2018,None,Superhero,Marvel,https://flixpatrol.com/title/black-panther/
I Care a Lot,United States,02/19/2021,Netflix,Thriller,Lawyers,https://flixpatrol.com/title/i-care-a-lot/
Birds of Prey,United States,02/05/2020,None,Superhero,DC,https://flixpatrol.com/title/birds-of-prey-2020/
Moana,United States,11/23/2016,None,Animated,Princesses,https://flixpatrol.com/title/moana/
Spider-Man: No Way Home,United States,12/15/2021,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-no-way-home/
The Batman,United States,03/01/2022,None,Superhero,DC,https://flixpatrol.com/title/the-batman/
Everything Everywhere All at Once,United States,03/24/2022,None,Science Fiction,Time travel,https://flixpatrol.com/title/everything-everywhere-all-at-once/
Top Gun: Maverick,United States,05/24/2022,None,Action,Planes,https://flixpatrol.com/title/top-gun-maverick/
Doctor Strange in the Multiverse of Madness,United States,05/04/2022,None,Superhero,Marvel,https://flixpatrol.com/title/doctor-strange-in-the-multiverse-of-madness/
X,United States,03/18/2022,None,Horror,Psychological horror,https://flixpatrol.com/title/x/
Encanto,United States,11/24/2021,None,Animated,For Older Kids,https://flixpatrol.com/title/encanto/
Thor: Love and Thunder,United States,07/06/2022,None,Superhero,Marvel,https://flixpatrol.com/title/thor-love-and-thunder/
Uncharted,United States,02/10/2022,None,Adventure,Treasure hunt,https://flixpatrol.com/title/uncharted/
Dune,United States,09/15/2021,None,Science Fiction,Space opera,https://flixpatrol.com/title/dune-2021/
Jurassic World Dominion,United States,06/01/2022,None,Science Fiction,Dinosaurs,https://flixpatrol.com/title/jurassic-world-dominion/
Bullet Train,United States,07/03/2022,None,Action,Hitman,https://flixpatrol.com/title/bullet-train/
The Northman,United States,03/31/2022,None,Adventure,Vikings,https://flixpatrol.com/title/the-northman/
Sonic the Hedgehog 2,United States,03/30/2022,None,Adventure,Family,https://flixpatrol.com/title/sonic-the-hedgehog-2/
Nope,United States,07/20/2022,None,Horror,Alien Invasion,https://flixpatrol.com/title/nope/
The Lost City,United States,03/23/2022,None,Adventure,Treasure hunt,https://flixpatrol.com/title/the-lost-city-2022/
Fantastic Beasts: The Secrets of Dumbledore,United Kingdom,04/07/2022,None,Fantasy,Wizards,https://flixpatrol.com/title/fantastic-beasts-the-secrets-of-dumbledore/
Sing 2,United States,12/01/2021,None,Animated,Music,https://flixpatrol.com/title/sing-2/
Turning Red,United States,03/10/2022,None,Animated,For Older Kids,https://flixpatrol.com/title/turning-red/
Elvis,United States,06/22/2022,None,Biopic,Musicians,https://flixpatrol.com/title/elvis-2022/
Eternals,United States,11/03/2021,None,Superhero,Marvel,https://flixpatrol.com/title/eternals/
The Black Phone,United States,06/22/2022,None,Thriller,Serial killer,https://flixpatrol.com/title/the-black-phone/
Morbius,United States,03/30/2022,None,Superhero,Marvel,https://flixpatrol.com/title/morbius/
Black Adam,United States,10/19/2022,None,Superhero,DC,https://flixpatrol.com/title/black-adam/
Interstellar,United States,11/05/2014,None,Science Fiction,Space,https://flixpatrol.com/title/interstellar/
The Dark Knight,United States,07/16/2008,None,Superhero,DC,https://flixpatrol.com/title/the-dark-knight/
Minions: The Rise of Gru,United States,06/24/2022,None,Animated,For babies,https://flixpatrol.com/title/minions-the-rise-of-gru/
Don't Worry Darling,United States,09/21/2022,None,Thriller,Mystery,https://flixpatrol.com/title/dont-worry-darling/
Prey,United States,07/26/2022,Hulu,Science Fiction,Alien Invasion,https://flixpatrol.com/title/prey-2022/
Lightyear,United States,06/15/2022,None,Animated,For Older Kids,https://flixpatrol.com/title/lightyear/
Fight Club,United States,10/14/1999,None,Thriller,Psychological,https://flixpatrol.com/title/fight-club/
Parasite,South Korea,05/30/2019,None,Drama,Social Issues,https://flixpatrol.com/title/parasite/
Moonfall,United States,02/03/2022,None,Science Fiction,Disaster,https://flixpatrol.com/title/moonfall/
Top Gun,United States,05/16/1986,None,Action,Planes,https://flixpatrol.com/title/top-gun/
Pulp Fiction,United States,09/10/1994,None,Crime,Gangsters,https://flixpatrol.com/title/pulp-fiction/
Knives Out,United States,11/27/2019,None,Crime,Murder,https://flixpatrol.com/title/knives-out/
American Psycho,United States,04/14/2000,None,Thriller,Serial killer,https://flixpatrol.com/title/american-psycho/
Smile,United States,09/23/2022,None,Horror,Psychological horror,https://flixpatrol.com/title/smile-2022/
Nightmare Alley,United States,12/02/2021,None,Crime,Mystery,https://flixpatrol.com/title/nightmare-alley/
Ghostbusters: Afterlife,United States,11/11/2021,None,Comedy,Horror Comedy,https://flixpatrol.com/title/ghostbusters-afterlife/
Scream,United States,01/12/2022,None,Horror,Slasher,https://flixpatrol.com/title/scream-2022/
The Bad Guys,United States,03/17/2022,None,Animated,Animals,https://flixpatrol.com/title/the-bad-guys-2022/
Spider-Man: Into the Spider-Verse,United States,12/07/2018,None,Superhero,Marvel,https://flixpatrol.com/title/spider-man-into-the-spider-verse/
Midsommar,United States,07/03/2019,None,Horror,Psychological horror,https://flixpatrol.com/title/midsommar/
Don't Look Up,United States,12/24/2021,Netflix,Comedy,Disaster,https://flixpatrol.com/title/dont-look-up-2021/
The King's Man,United Kingdom,12/22/2021,None,Action,Spies,https://flixpatrol.com/title/the-kings-man/
Joker,United States,10/02/2019,None,Superhero,DC,https://flixpatrol.com/title/joker-2019/
Avatar,United States,12/15/2009,None,Science Fiction,Space opera,https://flixpatrol.com/title/avatar-2009/
The Godfather,United States,03/15/1972,None,Drama,Gangsters,https://flixpatrol.com/title/the-godfather/
Whiplash,United States,10/10/2014,None,Drama,Music,https://flixpatrol.com/title/whiplash/
Licorice Pizza,United States,11/26/2021,None,Drama,Relationship,https://flixpatrol.com/title/licorice-pizza/
Shang-Chi and the Legend of the Ten Rings,United States,09/01/2021,None,Superhero,Marvel,https://flixpatrol.com/title/shang-chi-and-the-legend-of-the-ten-rings/
The Matrix Resurrections,United States,12/15/2021,None,Science Fiction,Cyberpunk,https://flixpatrol.com/title/the-matrix-resurrections/
The Gray Man,United States,07/22/2022,Netflix,Action,Spies,https://flixpatrol.com/title/the-gray-man-2022/
Barbarian,United States,09/08/2022,None,Horror,Serial killer,https://flixpatrol.com/title/barbarian/
Fall,United States,08/12/2022,None,Thriller,Survival,https://flixpatrol.com/title/fall/
Inception,United States,07/16/2010,None,Action,Heist,https://flixpatrol.com/title/inception/
NANA,Japan,09/03/2005,None,Romance,Music,https://flixpatrol.com/title/nana/
Avengers: Endgame,United States,04/24/2019,None,Superhero,Marvel,https://flixpatrol.com/title/avengers-endgame/
